Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
ACLBSL,"1,045.42",0.72,"1,050.00","1,036.00","1,036.00","1,407"
ADBL,304.20,2.4,307.00,295.10,301.00,"122,851"
AHL,628.37,3.19,634.60,604.10,604.10,"2,575"
AHPC,287.12,1.22,289.00,283.00,285.90,"105,560"
AKJCL,208.34,0.21,209.90,207.00,209.90,"76,642"
AKPL,256.71,1.22,259.00,254.00,256.10,"157,337"
ALBSL,829.07,1.02,840.00,817.40,820.72,"3,608"
ALICL,499.64,0.05,505.70,497.10,503.00,"25,793"
ANLB,"5,705.77",2.59,"5,840.00","5,451.00","5,451.00","1,513"
API,293.87,1.05,295.80,290.00,295.00,"116,858"
AVYAN,"1,024.00",1.79,"1,024.80",991.00,991.00,"1,292"
BARUN,452.20,6.21,458.90,430.00,430.00,"330,706"
BBC,"5,432.63",0.2,"5,457.00","5,350.00","5,350.10",736
BEDC,686.80,0.1,715.00,685.10,690.00,"28,865"
BFC,494.08,0.64,514.90,481.30,481.30,"14,228"
BGWT,"1,025.05",2.51,"1,041.00",962.00,981.60,"33,673"
BHDC,494.24,1.22,508.00,478.60,478.60,"58,034"
BHL,211.94,0.34,213.00,210.10,213.00,"89,102"
BHPL,759.87,3.61,776.00,733.20,733.20,"8,221"
BNHC,507.22,0.53,510.00,504.10,505.00,"3,448"
BNL,"16,085.40",0.53,"16,412.00","16,085.10","16,316.80",80
BNT,"12,400.00",0.56,"12,400.00","12,337.00","12,337.00",40
BPCL,833.89,-0.25,860.00,829.00,843.90,"433,535"
C30MF,9.70,0.62,9.80,9.60,9.60,"3,650"
CBBL,972.57,1.58,979.20,953.60,970.00,"121,324"
CFCL,533.38,-0.2,544.80,523.80,523.80,"9,872"
CGH,956.72,0.34,960.00,945.00,945.00,"36,088"
CHCL,526.85,-0.29,534.90,525.00,525.00,"72,841"
CHDC,"2,714.37",3.88,"2,730.00","2,620.00","2,645.00","99,025"
CHL,330.15,0.42,339.00,329.00,335.30,"43,968"
CIT,"1,925.95",0.7,"1,949.00","1,912.00","1,912.00","9,904"
CITY,837.07,0.43,843.80,833.00,843.80,"6,439"
CKHL,640.43,2.47,646.00,623.50,636.00,"5,507"
CLI,473.26,0.66,477.80,470.00,470.00,"41,605"
CMF2,9.70,0.52,9.70,9.70,9.70,100
CORBL,"2,598.09",-0.06,"2,640.00","2,401.00","2,547.70","22,075"
CREST,"1,398.90",-0.95,"1,440.00","1,385.10","1,385.10","17,381"
CYCL,"1,643.22",0.28,"1,650.40","1,607.00","1,607.00","2,177"
CZBIL,215.37,2.34,218.30,206.30,206.30,"84,753"
DDBL,829.44,0.92,833.00,816.00,818.00,"17,148"
DHPL,322.40,-0.48,330.00,321.50,326.00,"18,550"
DLBS,"1,538.46",1.33,"1,550.00","1,520.00","1,547.00","2,178"
DOLTI,565.11,0.89,580.00,557.30,560.00,"4,299"
DORDI,315.19,1.72,317.00,310.00,311.00,"148,728"
EBL,660.66,0.47,665.00,656.00,665.00,"64,837"
EBLD86,"1,055.00",1.25,"1,055.00","1,055.00","1,055.00",25
EBLD91,"1,025.00",0.19,"1,026.00","1,025.00","1,026.00",100
EBLEB89,"1,020.00",0,"1,020.00","1,020.00","1,020.00",30
EDBL,588.20,0.75,594.00,583.00,585.00,"21,613"
EHPL,561.92,1.96,569.00,552.00,552.00,"1,953"
ENL,"1,052.04",0.29,"1,065.90","1,040.40","1,040.40","1,444"
FMDBL,754.43,0.03,758.00,750.50,752.00,"10,048"
FOWAD,"1,138.77",0.46,"1,154.50","1,112.30","1,112.30","2,626"
GBBD85,"1,055.10",0.29,"1,055.10","1,041.20","1,041.20",50
GBBL,404.11,0.71,405.00,400.00,404.00,"34,635"
GBIME,243.13,2.25,244.50,236.10,236.10,"249,112"
GBLBS,815.01,0.15,820.00,800.60,813.77,"4,971"
GCIL,508.92,1.75,510.10,499.00,499.00,"27,426"
GFCL,647.94,-0.35,654.50,639.90,651.00,"15,701"
GHL,251.77,1.11,253.00,248.00,249.90,"198,657"
GIBF1,10.67,0.28,10.77,10.66,10.76,"159,720"
GILB,"1,287.97",1.49,"1,302.00","1,252.00","1,252.00","2,279"
GLBSL,"2,189.74",0.83,"2,209.90","2,171.69","2,171.69","1,781"
GLH,263.48,0.67,268.00,262.50,264.30,"43,629"
GMFBS,"1,560.00",0.32,"1,595.00","1,556.00","1,556.00",203
GMFIL,488.30,-0.58,495.00,485.30,495.00,"11,991"
GMLI,"2,326.40",-1.63,"2,370.00","2,321.00","2,370.00","134,619"
GRDBL,"1,331.59",-4.41,"1,420.80","1,297.00","1,420.80","14,023"
GSY,9.40,0.86,9.40,9.24,9.24,"3,000"
GUFL,551.75,0.3,556.00,547.00,550.20,"6,015"
GVL,465.70,0.22,473.90,461.10,464.60,"41,678"
GWFD83,"1,212.00",1.99,"1,212.00","1,152.00","1,188.30",902
H8020,11.24,0,11.37,11.02,11.15,"64,300"
