Announcement Date,Announcement Detail,Company Name,Date,Fiscal Year,Symbol,Tags
2025/07/08 AD (2082/03/24 BS),"Him Star Urja Company Limited is going to open its 7,73,975.00 units of IPO shares to the general public starting from today, Ashad 24, 2082",Him Star Urja Company Limited,2025/07/08 AD (2082/03/24 BS),081-082,HSUCL,"Notice, Open, Initial public offering"
2025/07/01 AD (2082/03/17 BS),"Him Star Urja Company Limited is going to issue its 7,73,975.00 units of IPO shares to the general public starting from 24th - 27th Ashad, 2082",Him Star Urja Company Limited,2025/07/08 AD (2082/03/24 BS),081-082,HSUCL,"Notice, Initial public offering, Issue"
2025/06/29 AD (2082/03/15 BS),"Mabilung Energy Limited is going to issue its 1,50,471.00 units of IPO shares to the foreign employment citizens of Nepal starting from 22nd Ashad - 4th Shrawan, 2082",Mabilung Energy Ltd.,2025/07/06 AD (2082/03/22 BS),081-082,MBEL,"Notice, Initial public offering, Foreign Employment, Issue"
2025/06/29 AD (2082/03/15 BS),"Mabilung Energy Limited is going to issue its 3,85,824.00 units of IPO shares to the project affected (industrial affected) local residents of Sankhuwasabha District, Maadi Municipality, Ward No. 07-09 and Chainpur Municipality, Ward No.02, 03, 07 - 09 starting from 22nd Ashad - 4th Shrawan, 2082",Mabilung Energy Ltd.,2025/07/06 AD (2082/03/22 BS),081-082,MBEL,"Notice, Initial public offering, Project Affected, Issue"
2025/06/24 AD (2082/03/10 BS),"Bikash Hydropower Company Limited is going to issue its 29,42,760.00 units of IPO shares to the general public starting from 18th - 22nd Ashad, 2082",Bikash Hydropower Company Limited,2025/07/02 AD (2082/03/18 BS),081-082,BHCL,"Notice, Initial public offering, Issue"
2025/06/15 AD (2082/03/01 BS),"Daramkhola Hydro Energy Limited is going to issue its 2,91,950.00 units of IPO shares to the foreign employment citizens of Nepal starting from 9th - 23rd Ashad, 2082",Daramkhola Hydro Energy Limited,2025/06/23 AD (2082/03/09 BS),081-082,DHEL,"Notice, Initial public offering, Issue, Foreign Employment"
2025/06/15 AD (2082/03/01 BS),"Daramkhola Hydro Energy Limited is going to issue its 10,30,500.00 units of IPO shares to the project/industrial affected local residents of Gulmi District, Musikot Municipality, Baglung District, Galkot Municipality, Badigad VDC starting from 9th - 23rd Ashad, 2082",Daramkhola Hydro Energy Limited,2025/06/23 AD (2082/03/09 BS),081-082,DHEL,"Notice, Initial public offering, Issue, Project Affected"
2025/06/06 AD (2082/02/23 BS),"Him Star Urja Company Limited is going to issue its 93,250.00 units of IPO shares to the foreign employment citizens of Nepal starting from 30th Jestha - 13th Ashad, 2082",Him Star Urja Company Limited,2025/06/13 AD (2082/2/30 BS),081-082,HSUCL,"Notice, Initial public offering, Foreign Employment, Issue"
2025/06/06 AD (2082/02/23 BS),"Him Star Urja Company Limited is going to issue its 1,86,500.00 units of IPO shares to the project affected local residents of Okhaldhunga District, Khijidemba VDC Ward No. 08, former Bhusinga VDC all Wards and Solukhumbu District, Likhupike VDC Ward No. 02, former Goli VDC Ward No. 01 - 05 starting from 30th Jestha - 13th Ashad, 2082",Him Star Urja Company Limited,2025/06/13 AD (2082/2/30 BS),081-082,HSUCL,"Initial public offering, Notice, Issue, Project Affected"
2025/06/02 AD (2082/02/19 BS),"Trade Tower Limited has extended its 32,96,505.19 units of IPO shares to the general public till Jestha 20, 2082",Trade Tower Limited,2025/05/28 AD (2082/02/14 BS),081-082,TTL,"Notice, Initial public offering, Extend"
2025/05/15 AD (2082/02/01 BS),"Sanvi Energy Limited is going to issue its 24,15,300.00 units of IPO shares to the general public starting from 9th - 13th Jestha, 2082",Sanvi Energy Ltd.,2025/05/23 AD (2082/02/09 BS),081-082,SANVI,"Notice, Initial public offering, Issue"
