Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
ACLBSL,"1,174.00",2.54,"1,193.00","1,150.00","1,150.00",181
ADBL,336.00,-1.06,341.00,335.40,338.00,"10,391"
AHL,654.00,-1.13,667.00,654.00,667.00,20
AHPC,317.30,1.11,322.00,315.00,315.00,"72,368"
AKJCL,227.00,1.19,233.50,219.90,219.90,"62,776"
AKPL,287.00,1.38,293.00,285.00,285.00,"119,737"
ALBSL,923.30,-0.88,923.30,920.00,920.00,43
ALICL,543.00,0.88,548.00,540.00,548.00,"2,872"
ANLB,"5,575.10",-1.04,"5,611.10","5,532.00","5,611.10","1,214"
API,321.00,0.15,326.80,319.00,326.00,"58,641"
AVYAN,"1,159.10",0.98,"1,182.00","1,140.10","1,160.00",160
BARUN,412.60,-0.31,421.00,412.60,421.00,"6,470"
BBC,"5,560.00",0.38,"5,598.00","5,511.00","5,511.00",53
BEDC,745.00,-2.28,760.00,745.00,760.00,"2,840"
BFC,565.00,1.29,574.20,563.00,563.00,"13,100"
BGWT,971.53,0,971.53,971.53,971.53,5
BHDC,620.20,-2.92,635.00,614.00,635.00,"16,987"
BHL,226.10,0.49,229.00,226.00,228.00,"45,363"
BHPL,874.90,1.88,874.90,858.70,858.70,30
BNHC,558.00,3.23,558.00,530.00,530.00,"5,530"
BPCL,"1,007.00",1.59,"1,014.00",995.00,995.00,"37,966"
CBBL,"1,120.00",-0.25,"1,143.00","1,120.00","1,140.00","8,435"
CFCL,574.00,-0.98,589.90,571.00,589.90,"1,607"
CGH,"1,125.00",0.72,"1,135.00","1,100.00","1,120.00","70,223"
CHCL,557.00,0.49,561.00,556.00,560.00,"5,706"
CHDC,"2,900.00",1.64,"2,920.00","2,856.00","2,870.00","11,026"
CHL,330.00,0.09,339.50,330.00,335.80,"4,145"
CIT,"2,042.00",-0.42,"2,079.00","2,039.00","2,079.00","1,181"
CITY,950.00,0.43,964.80,946.00,964.80,"2,504"
CKHL,703.00,-1.24,720.00,702.00,720.00,40
CLI,527.00,0.13,530.00,520.10,526.00,"2,269"
CORBL,"2,010.00",-3.85,"2,095.00","2,009.00","2,095.00","1,160"
CREST,"1,446.60",-0.47,"1,481.00","1,446.10","1,469.00",680
CYCL,"1,871.00",-0.71,"1,880.00","1,871.00","1,880.00",20
CZBIL,233.40,-0.66,239.60,233.10,239.60,"13,947"
DDBL,963.00,-0.83,970.00,963.00,963.00,"2,731"
DHPL,351.00,-0.07,358.20,351.00,358.00,"3,710"
DLBS,"1,617.00",-0.12,"1,684.00","1,617.00","1,651.00","1,271"
DOLTI,624.00,1.56,625.00,621.00,621.00,630
DORDI,320.00,0.51,321.40,317.00,317.00,"6,465"
EBL,756.00,-1.16,766.00,756.00,766.00,"14,001"
EDBL,662.10,-1.03,668.98,662.10,668.98,"3,003"
EHPL,641.00,-0.81,657.00,640.00,657.00,"1,843"
ENL,"1,180.00",1.55,"1,185.20","1,141.00","1,141.00",184
FMDBL,966.00,-0.46,975.00,965.10,971.00,"31,407"
FOWAD,"1,290.00",-0.2,"1,305.00","1,290.00","1,293.00",400
GBBD85,"1,039.00",-1.98,"1,039.00","1,039.00","1,039.00",10
GBBL,462.00,-1.57,476.70,462.00,476.70,"8,758"
GBIME,260.20,-0.72,264.00,260.10,263.00,"19,546"
GBLBS,900.00,-1.31,930.00,900.00,930.00,635
GCIL,540.00,-0.64,546.00,539.00,541.00,"6,565"
GFCL,738.00,-0.08,750.00,738.00,738.00,905
GHL,269.10,0.25,275.00,269.00,269.00,"25,380"
GILB,"1,377.00",-0.22,"1,400.00","1,376.00","1,400.00",550
GLBSL,"2,375.00",-1.6,"2,459.00","2,375.00","2,459.00",532
GLH,296.00,0.35,300.00,295.00,300.00,"17,648"
GMFIL,535.00,-0.87,548.90,534.10,545.00,945
GMLI,"2,179.00",0.31,"2,195.00","2,151.10","2,195.00",256
GRDBL,"1,215.00",-2.41,"1,225.00","1,200.40","1,222.10","2,355"
GSY,9.61,-1.94,9.61,9.61,9.61,100
GUFL,608.00,0.34,612.00,608.00,610.00,"1,120"
GVL,568.00,4.97,571.00,543.00,550.00,"47,356"
GWFD83,"1,200.00",-1.15,"1,200.00","1,200.00","1,200.00",11
HATHY,"1,333.00",-0.62,"1,355.00","1,316.10","1,316.10",863
HBL,247.00,-1.02,250.00,246.00,249.60,"1,744"
HDHPC,215.00,0.53,216.90,214.00,214.00,"37,910"
HDL,"1,331.10",0.34,"1,340.00","1,329.00","1,330.00","3,023"
HEI,630.30,-1.63,643.00,630.30,643.00,837
HEIP,392.00,0.1,392.00,392.00,392.00,150
HHL,398.50,2.41,398.50,384.00,388.00,"19,460"
HIDCL,322.60,-0.4,330.30,322.00,330.30,"54,096"
HIDCLP,230.90,1.23,235.00,230.00,230.00,"208,979"
HLBSL,"1,046.00",-0.26,"1,046.00","1,043.10","1,043.10",45
HLI,450.00,-0.44,457.00,448.10,450.00,"9,102"
HPPL,543.00,-0.01,547.00,542.00,542.00,"2,909"
HRL,"1,070.00",-0.99,"1,100.00","1,065.00","1,065.00","45,045"
HURJA,269.00,0.15,274.00,268.00,269.00,"30,158"
